id,name
1380,Ararat Mirzoyan
1291,Vahe Enfiajyan
1372,Lena Nazaryan
1389,Alen Simonyan
1290,Arman Abovyan
1312,Arayik Aghababyan
1400,Hovik Aghazaryan
1351,Sargis Aleksanyan
1356,Edvard Andreasyan
1314,Nora Arustamyan
1404,Matevos Asatryan
1413,Vardan Atabekyan
1398,Sergey Atomyan
1311,Aleksandr Avetisyan
1346,Sos Avetisyan
1359,Hrant Ayvazyan
1336,Arman Babajanyan
1323,Eduard Babayan
1341,Harutyun Babayan
1283,Lusine Badalyan
1352,Gurgen Baghdasaryan
1385,Nazeli Baghdasaryan
1374,Nikolay Baghdasaryan
1297,Sergey Bagratyan
1365,Rustam Bakoyan
1285,Anush Begloian
1308,Arman Boshyan
1320,Artur Dallakyan
1334,Hamazasp Danielyan
1411,Arpine Davoyan
1361,Artur Davtyan
1335,Sisak Gabrielyan
1330,Meri Galstyan
1397,Tatevik Gasparyan
1340,Gor Gevorgyan
1303,Hayk Gevorgyan
1310,Kajik Gevorgyan
1417,Narek Ghahramanyan
1396,Vahe Ghalumyan
1322,Sona Ghazaryan
1318,Taguhi Ghazaryan
1329,Vardan Ghukasyan
1353,Gevorg Gorgisyan
1288,Artur Grigoryan
1386,Hripsime Grigoryan
1423,Karen Grigoryan
1421,Narek Grigoryan
1349,Srbuhi Grigoryan
1328,Suren Grigoryan
1331,Vardevan Grigoryan
1384,Hrachya Hakobyan
1379,Vagharshak Hakobyan
1393,Karen Hambardzumyan
1371,Knyaz Hasanov
1326,Janibek Hayrapetyan
1370,Mkhitar Hayrapetyan
1344,Tatevik Hayrapetyan
1378,Vahagn Hovakimyan
1414,Arthur Hovhannisyan
1321,Hovhannes Hovhannisyan
1377,Vahe Hovhannisyan
1383,Sofia Hovsepyan
1305,Hovhannes Igityan
1298,Shake Isayan
1363,Arusyak Julhakyan
1419,Mkhchyan Karapet
1299,Anna Karapetyan
1280,Maria Karapetyan
1395,Tigran Karapetyan
1338,Arkadi Khachatryan
1388,Armen Khachatryan
1364,Sargis Khandanyan
1304,Andranik Kocharyan
1366,Hayk Konjoryan
1345,Anna Kostanyan
1316,Hrant Madatyan
1376,Lilit Makunts
1327,Artak Manukyan
1415,Artur Manukyan
1325,Davit Manukyan
1354,Edmon Marukyan
1286,Mikayel Melkumyan
1375,Sasun Mikayelyan
1369,Arsen Mikhaylov
1360,Sarik Minasyan
1410,Aren Mkrtchyan
1324,Koryun Mkrtchyan
1403,Narek Mkrtchyan
1405,Sergey Movsisyan
1422,Vanik Oghanyan
1387,Gevorg Papoyan
1399,Sipan Pashinyan
1412,Artashes Petrosyan
1294,Gevorg Petrosyan
1301,Karine Poghosyan
1313,Kristine Poghosyan
1279,Ruben Rubinyan
1339,Ani Samsonyan
1367,Aleksey Sandikov
1407,Hayk Sargsyan
1382,Karen Sarukhanyan
1391,Hakob Simidyan
1347,Karen Simonyan
1358,Taron Simonyan
1302,Soghomon Soghomonyan
1292,Yeghishe Soghomonyan
1381,Lilit Stepanyan
1357,Rubik Stepanyan
1416,Stepan Stepanyan
1307,Tigran Stepanyan
1394,Sedrak Tevonyan
1348,Vahagn Tevosyan
1287,Heriknaz Tigranyan
1293,Iveta Tonoyan
1296,Shirak Torosyan
1409,Taguhi Tovmasyan
1300,Artyom Tsarukyan
1284,Gagik Tsarukyan
1420,Hayk Tsirunyan
1342,Babken Tunyan
1289,Tigran Urikhanyan
1350,Tsovinar Vardanyan
1306,Vardan Vardanyan
1315,Vladimir Vardanyan
1343,Armen Yeghiazaryan
1309,Arman Yeghoyan
1402,Viktor Yengibaryan
1418,Gor Yeranyan
1332,Narek Zeynalyan
1333,Naira Zohrabyan
1362,Mikayel Zolyan
