item,name,groupitem,group,district,constituency,gender,dob,dobPrecision,source,psid
Q100715793,Narek Ghahramanyan,,,,,male,1991-04-16,11,http://www.parliament.am/deputies.php?lang=eng,Q100715793-7BD5ED42-77C3-48DF-BA46-568AF3905DDC
Q106926931,Anna Grigoryan,,,,,female,1991-01-08,11,,Q106926931-4AFE3A50-87D0-4E14-AA83-606434013525
Q107343072,Vahagn Aleksanyan,,,,,male,1993-08-04,11,http://www.parliament.am/deputies.php?lang=eng,Q107343072-CB196642-C42A-41F8-9384-C54BFAE18B23
Q107343086,Hakob Aslanyan,,,,,male,1954-08-01,11,http://www.parliament.am/deputies.php?lang=eng,Q107343086-C652C488-14AF-4BB9-87E9-A92DBEC2D3F1
Q107343111,Narek Grigoryan,,,,,male,1991-10-06,11,,Q107343111-85DECDA7-3926-4D6D-8562-0C4994A561E2
Q107343138,Emma Palyan,,,,,female,1990-11-26,11,http://www.parliament.am/deputies.php?lang=eng,Q107343138-3C0354DA-49AB-4208-822E-531F0DD49FC9
Q107343175,Hayk Tsirunyan,,,,,male,1977-10-03,11,http://www.parliament.am/deputies.php?lang=eng,Q107343175-9ABB7DC8-0C3F-47FB-98EE-063AD858C29C
Q107740652,Agnesa Khamoyan,,,,,female,1990-10-19,11,,Q107740652-53A0CDA9-4F6D-41D5-A90A-3B8B90F8C2B9
Q107741735,Aram Vardevanyan,,,,,male,1989-11-01,11,,Q107741735-C67560DB-2083-427C-91F0-47DB7CB6592B
Q107873597,Hayk Mamijanyan,,,,,male,1990-10-17,11,,Q107873597-59B46538-C2AB-4515-9CEC-EA8126B86C1B
Q107920257,Tigran Abrahamyan,,,,,male,1985-04-27,11,,Q107920257-3FB57043-6BEA-4C5A-8695-E041A425A392
Q107983550,Andranik Tevanyan,,,,,male,1974-05-05,11,http://www.parliament.am/deputies.php?lang=eng,Q107983550-739BA9E0-3D9F-4030-A7C2-E413E66D81CF
Q107987058,Tadevos Avetisyan,,,,,male,1976-04-19,11,,Q107987058-77F9626F-DD74-488C-B981-1B074B113AB0
Q109281262,Zemfira Mirzoeva,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281262-04F1B97A-420B-4888-B2A8-64E950604729
Q109281318,Yelena Kirakosyan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281318-22326B30-CD60-4815-BB8B-02686B6CF980
Q109281418,Vilen Gabrielyan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281418-0C5D4624-6BDE-4459-8202-FE883310FECB
Q109281558,Narek Babayan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281558-8820F9B3-F076-4E42-9185-9F87C10B9705
Q109281617,Mkhitar Zakaryan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281617-CFDFB00B-7A88-497A-AD67-0D61D298E1FC
Q109281624,Marina Ghazaryan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281624-5F62A039-19E2-4822-B3DE-8781145C9920
Q109281635,Mariam Poghosyan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281635-00147815-EDFF-4D04-8977-7C0CE38C4B3B
Q109281648,Lilit Minasyan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281648-F57DAC45-D956-4934-87EF-1F418C76B23D
Q109281673,Kristine Vardanyan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281673-EDF12FA3-B520-46A5-BA69-F684C1952CE1
Q109281694,Hripsime Stambulyan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281694-EE913B28-CD97-4CFE-B849-A0474D5AB5BB
Q109281704,Hripsime Hunanyan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281704-4D72EDE6-AB2B-406F-B4DE-ACAE7D28EBDE
Q109281711,Hasmik Hakobyan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281711-4235E846-7B72-4AF9-8B21-5D553982CC55
Q109281718,Gurgen Melkonyan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281718-CF853A05-326E-4624-BB5F-80309AC960CB
Q109281724,Gegham Nazaryan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281724-07C7092D-5CB4-4AF3-A084-D318BE3D38BA
Q109281735,Elinar Vardanyan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281735-91F0A8AB-F627-4ADC-A00C-37DA369982E4
